Nama Pemilik,Jenis Pemilik,Nomor Polisi,Provinsi,Alamat Pemilik,Nomor HP,Golongan,Jenis Plat,Tgl Transaksi Terakhir,Tgl Jatuh Tempo,Status Kendaraan,Status Kunjungan
PT SERBA CEMERLANG,Perusahaan,BL-8513-NP,ACEH,JL. KAMBOJA NO. 101 B KEL. KUTA BLANG KEC. BANDA SAKTI KOTA LHOKS,85260121700,F,Kuning - Kendaraan Umum,2025-08-13,2026-08-01,LUNAS,BELUM DIKUNJUNGI
PT SERBA CEMERLANG,Perusahaan,BL-8985-NH,ACEH,JL. KAMBOJA NO. 101 B KEL. KUTA BLANG KEC. BANDA SAKTI KOTA LHOKS,0,F,Kuning - Kendaraan Umum,2025-08-08,2026-07-18,BELUM LUNAS,BELUM DIKUNJUNGI
PTSASTRA TRANSPORT BERSAMA,Perusahaan,BL-7455-NL,ACEH,JL. MERDEKA NO. 129 KEL. MON GEUDONG,81261403143,EU,Kuning - Kendaraan Umum,2025-01-02,2025-09-13,BELUM LUNAS,BELUM DIKUNJUNGI
PTSASTRA TRANSPORT BERSAMA,Perusahaan,BL-1303-NB,ACEH,JL.MERDEKA NO.14 LHOKSEUMAWE,85370137722,DU,Kuning - Kendaraan Umum,2024-08-13,2025-09-14,BELUM LUNAS,BELUM DIKUNJUNGI
PT SASTRA TRANSPORT BERSAMA,Perusahaan,BL-7466-NL,ACEH,JL. PASE NO. 5 A KEC. BANDA SAKTI KOTA LHOKSEUMAWE,8552222222,EU,Kuning - Kendaraan Umum,2025-03-21,2026-03-23,BELUM LUNAS,BELUM DIKUNJUNGI
PT SASTRA TRANSPORT BERSAMA,Perusahaan,BL-7353-NL,ACEH,JL. PASE NO. 3 A KEL. KOTA LHOKSEUMAWE,85211080268,EU,Kuning - Kendaraan Umum,2024-11-18,2025-11-16,BELUM LUNAS,BELUM DIKUNJUNGI
PT SASTRA TRANSPORT BERSAMA,Perusahaan,BL-1452-NL,ACEH,"JLN PASE NO,03 A TELP 46704 LHOKSEUMAWE",85260121700,EU,Kuning - Kendaraan Umum,2025-01-16,2026-01-18,BELUM LUNAS,BELUM DIKUNJUNGI
PT SASTRA TRANSPORT BERSAMA,Perusahaan,BL-1863-NB,ACEH,JL. PASE NO. 3 A LHOKSEUMAWE,85231108080,EU,Kuning - Kendaraan Umum,2024-11-13,2026-01-22,BELUM LUNAS,BELUM DIKUNJUNGI
PT SASTRA TRANSPORT BERSAMA,Perusahaan,BL-7812-NB,ACEH,JL. PASE NO. 5A KEL. KOTA LHOKSEUMAWE,85231108140,EU,Kuning - Kendaraan Umum,2025-03-06,2026-01-23,BELUM LUNAS,BELUM DIKUNJUNGI
PT SASTRA TRANPORT BERSAMA,Perusahaan,BL-1952-NB,ACEH,JL. RAJAWALI NO. 83 KEL. PANGGOI KEC. MUARA DUA KOTA LHOKSEUMAWE,85260121700,EU,Kuning - Kendaraan Umum,2025-05-22,2026-05-23,BELUM LUNAS,BELUM DIKUNJUNGI
PT SARANG MAS MURNI,Perusahaan,BL-9540-KI,ACEH,DS. TAMBON BAROH,81260087882,F,Kuning - Kendaraan Umum,2025-04-08,2025-08-30,BELUM LUNAS,BELUM DIKUNJUNGI
PTSAMUDRA PUSAKA JAYA,Perusahaan,BL-1903-NB,ACEH,JLN.CUT MUTIA NO.8 KOTA LHOKSEUMAWE,85261447720,EU,Kuning - Kendaraan Umum,2026-04-30,2026-07-17,BELUM LUNAS,BELUM DIKUNJUNGI
